Date,Funding Rate,Prime Rate,Retail Rate,Sub-prime Rate
2020-08-28,0.85,2.76,5.09,8.18
2020-08-29,0.86,2.79,5.09,8.29
2020-08-30,0.87,2.81,5.09,8.45
2020-08-31,0.87,2.8,5.06,8.64
2020-09-01,0.9,2.79,5.04,8.82
2020-09-02,0.92,2.78,5.02,8.86
2020-09-03,0.94,2.73,5.02,8.87
2020-09-04,0.99,2.71,5.04,8.77
2020-09-05,1.04,2.7,5.07,8.49
2020-09-06,1.07,2.69,5.09,8.16
2020-09-07,1.09,2.7,5.15,7.77
2020-09-08,1.09,2.72,5.19,7.56
2020-09-09,1.08,2.72,5.19,7.51
2020-09-10,1.06,2.72,5.19,7.51
2020-09-11,1.04,2.73,5.21,7.6
2020-09-12,1.02,2.74,5.24,7.76
2020-09-13,1.03,2.76,5.25,7.88
2020-09-14,1.03,2.8,5.27,7.85
2020-09-15,0.98,2.83,5.26,7.84
2020-09-16,0.96,2.83,5.23,7.8
2020-09-17,0.94,2.83,5.23,7.74
2020-09-18,0.93,2.86,5.21,7.74
2020-09-19,0.9,2.9,5.21,7.72
2020-09-20,0.86,2.92,5.23,7.69
2020-09-21,0.86,2.92,5.23,7.66
2020-09-22,0.87,2.92,5.23,7.73
2020-09-23,0.87,2.95,5.27,7.8
2020-09-24,0.88,3.0,5.33,7.8
2020-09-25,0.88,3.04,5.38,7.93
2020-09-26,0.86,3.06,5.44,8.06
2020-09-27,0.83,3.1,5.45,8.07
2020-09-28,0.83,3.14,5.4,7.94
2020-09-29,0.89,3.16,5.33,7.77
2020-09-30,0.94,3.16,5.25,7.65
2020-10-01,0.96,3.17,5.19,7.58
2020-10-02,0.96,3.17,5.16,7.67
2020-10-03,0.98,3.2,5.07,7.87
2020-10-04,1.01,3.23,5.02,8.03
2020-10-05,1.04,3.22,5.0,8.04
2020-10-06,1.05,3.17,4.97,7.98
2020-10-07,1.06,3.14,4.93,7.84
2020-10-08,1.1,3.12,4.91,7.77
2020-10-09,1.12,3.14,4.92,7.73
2020-10-10,1.12,3.17,4.92,7.64
2020-10-11,1.13,3.19,4.93,7.77
2020-10-12,1.14,3.2,4.96,8.01
2020-10-13,1.11,3.19,5.01,8.24
2020-10-14,1.08,3.17,5.04,8.35
2020-10-15,1.05,3.18,5.06,8.38
2020-10-16,1.03,3.2,5.04,8.4
2020-10-17,1.02,3.2,5.03,8.34
2020-10-18,1.02,3.18,4.99,8.36
2020-10-19,1.02,3.14,4.89,8.45
2020-10-20,1.02,3.12,4.76,8.46
2020-10-21,1.0,3.11,4.69,8.48
2020-10-22,0.98,3.11,4.63,8.45
2020-10-23,0.96,3.13,4.59,8.37
2020-10-24,0.94,3.12,4.57,8.28
2020-10-25,0.92,3.11,4.58,8.19
2020-10-26,0.91,3.08,4.6,8.12
2020-10-27,0.9,3.07,4.6,8.1
2020-10-28,0.91,3.07,4.65,8.09
2020-10-29,0.94,3.06,4.67,8.08
2020-10-30,0.95,3.03,4.72,8.2
2020-10-31,0.97,3.03,4.76,8.31
2020-11-01,0.99,3.05,4.83,8.32
2020-11-02,1.02,3.1,4.86,8.21
2020-11-03,1.04,3.15,4.87,8.12
2020-11-04,1.05,3.16,4.86,8.08
2020-11-05,1.05,3.16,4.87,8.07
2020-11-06,1.07,3.16,4.88,8.05
2020-11-07,1.06,3.17,4.87,8.02
2020-11-08,1.05,3.21,4.86,7.96
2020-11-09,1.05,3.25,4.85,8.03
2020-11-10,1.06,3.31,4.83,8.09
2020-11-11,1.06,3.32,4.82,8.09
2020-11-12,1.06,3.28,4.83,8.03
2020-11-13,1.05,3.28,4.86,7.93
2020-11-14,1.04,3.29,4.87,7.89
2020-11-15,1.05,3.31,4.85,7.88
2020-11-16,1.03,3.32,4.84,7.86
2020-11-17,1.03,3.31,4.84,7.95
2020-11-18,1.01,3.3,4.85,8.16
2020-11-19,1.0,3.28,4.85,8.28
2020-11-20,0.99,3.24,4.83,8.37
2020-11-21,0.99,3.23,4.79,8.51
2020-11-22,1.01,3.22,4.75,8.65
2020-11-23,1.01,3.23,4.73,8.78
2020-11-24,1.02,3.25,4.73,9.06
2020-11-25,1.03,3.25,4.75,9.19
2020-11-26,1.04,3.24,4.75,9.16
2020-11-27,1.02,3.25,4.75,8.95
2020-11-28,1.0,3.25,4.7,8.79
2020-11-29,1.0,3.29,4.65,8.67
2020-11-30,1.01,3.28,4.63,8.59
2020-12-01,1.0,3.25,4.65,8.49
2020-12-02,0.99,3.23,4.67,8.42
2020-12-03,0.98,3.2,4.69,8.33
2020-12-04,0.97,3.2,4.67,8.23
2020-12-05,0.95,3.18,4.64,8.14
2020-12-06,0.94,3.18,4.63,8.11
2020-12-07,0.95,3.2,4.59,8.17
2020-12-08,1.0,3.26,4.59,8.19
2020-12-09,1.04,3.31,4.63,8.25
2020-12-10,1.1,3.33,4.63,8.26
2020-12-11,1.13,3.35,4.61,8.33
2020-12-12,1.17,3.36,4.64,8.36
2020-12-13,1.2,3.35,4.69,8.36
2020-12-14,1.22,3.32,4.74,8.31
2020-12-15,1.21,3.29,4.82,8.23
2020-12-16,1.21,3.29,4.91,8.2
2020-12-17,1.2,3.29,5.0,8.24
2020-12-18,1.19,3.29,5.06,8.2
2020-12-19,1.18,3.3,5.06,8.14
2020-12-20,1.17,3.3,5.05,7.98
2020-12-21,1.15,3.32,5.0,7.76
2020-12-22,1.13,3.3,4.96,7.57
2020-12-23,1.12,3.27,4.91,7.43
2020-12-24,1.11,3.26,4.87,7.37
2020-12-25,1.13,3.25,4.83,7.31
2020-12-26,1.17,3.26,4.85,7.27
2020-12-27,1.2,3.26,4.86,7.35
2020-12-28,1.21,3.23,4.86,7.49
2020-12-29,1.2,3.19,4.84,7.58
2020-12-30,1.21,3.17,4.82,7.67
